gender,category,interest,age,product_name,link,image_url
çocuk,oyuncak,araba,7-12,Suncon Rock Crawler Uzaktan Kumandalı Araba,https://www.toyzzshop.com/1-28-suncon-rock-crawler-uzaktan-kumandali-araba?serial=99602&_gl=1*7q8swu*_up*MQ..*_gs*MQ..&gclid=CjwKCAjwmNLHBhA4EiwA3ts3magGOiEzK9jWZQbcxqmamxPp_Eq6PhYXQwBvoOuMsr3AUWfH9ZWOWBoCqfgQAvD_BwE&gbraid=0AAAAADp9lokE65JeWSMIlUw-lui_T65-8,https://docsd.toyzzshop.com/product/orj/eca1b_1_28_Suncon_Rock_Crawler_Uzaktan_Kumandali_Araba_.jpg
çocuk,kitap,masal,3-6,Kırmızı Başlıklı Kız Sesli Kitap,https://bkmkitap.com/kirmizi-baslikli-kiz-sesli-kitap-3?waw_keyword=k%C4%B1rm%C4%B1z%C4%B1%20ba%C5%9Fl%C4%B1kl%C4%B1%20k%C4%B1z,https://cdn.bkmkitap.com/kirmizi-baslikli-kiz-sesli-kitap-3-11591585-14-O.jpg
çocuk,kitap,macera,7-12,Harry Potter Set,https://www.dr.com.tr/kitap/harry-potter-ozel-kutulu-set-7-kitap-takim/cocuk-ve-genclik/genclik-10-yas/fantastik-bilim-kurgu/urunno=0001802610001,https://i.dr.com.tr/cache/500x400-0/originals/0001802610001-1.jpg
çocuk,kitap,eğitici,7-12,Ses Elektrik Işık,https://www.dr.com.tr/kitap/ses-elektrik-isik-deneylerle-bilim-dunyasi/ruth-owen/bilim/populer-bilim/urunno=0002109103001,https://i.dr.com.tr/cache/500x400-0/originals/0002109103001-1.jpg
çocuk,moda,elbise,3-6,Belden Bağlamalı Çocuk Elbise,https://www.trendyol.com/my-kids-wear/belden-baglamali-tul-detayli-cocuk-elbise-mykids-collection-p-640428185?boutiqueId=61&merchantId=624822,https://cdn.dsmcdn.com/mnresize/620/920/ty1709/prod/QC_ENRICHMENT/20250710/11/6897268c-0df3-3683-ba2c-4dfc5a3cd2d0/1_org_zoom.jpg
çocuk,moda,spor,7-12,Çocuk Spor Ayakkabı,https://www.trendyol.com/lumberjack/madax-jr-5fx-lacivert-erkek-cocuk-sneaker-a101941730-p-894017614?boutiqueId=681430&merchantId=968,https://cdn.dsmcdn.com/mnresize/620/920/ty1639/prod/QC/20250220/12/3d7a550e-7649-39b5-bc87-cc3c67b5b4e7/1_org_zoom.jpg
çocuk,spor,futbol,7-12,Mini Futbol Topu,https://www.trendyol.com/adidas/25-26-sampiyonlar-ligi-mini-topu-mini-1-numara-p-977908962?boutiqueId=61&merchantId=1033009,https://cdn.dsmcdn.com/mnresize/620/920/ty1739/prod/QC_PREP/20250825/18/fc8a6eaf-2642-3da1-89fb-3dcefa596c3f/1_org_zoom.jpg
çocuk,spor,yüzme,7-12,Renkli Yüzme Gözlüğü,https://www.trendyol.com/sunnylife/cocuk-deniz-yuzme-gozlugu-p-957627991?boutiqueId=61&merchantId=832878,https://cdn.dsmcdn.com/mnresize/620/920/ty1710/prod/QC_PREP/20250718/18/eace36cd-b622-3424-922b-484176b5af18/1_org_zoom.jpg
çocuk,teknoloji,tablet,7-12,Çocuk Eğitim Tableti,https://www.trendyol.com/shuzi/12-inc-buyuk-boy-dijital-lcd-ekran-kalemli-cocuk-yazi-cizim-writing-grafik-not-yazma-egitim-tableti-p-937463340?boutiqueId=61&merchantId=282610,https://cdn.dsmcdn.com/mnresize/620/920/ty1681/prod/QC/20250517/14/3bf5305d-932e-3934-a021-a1661c136a46/1_org_zoom.jpg
çocuk,teknoloji,kulaklık,7-12,Çocuk Kulaklığı,https://www.hepsiburada.com/ttec-soundbuddy-2-bluetooth-cocuk-kulakligi-p-HBCV00005WQQZ9,https://productimages.hepsiburada.net/s/564/48-64/110000627969061.jpg/format:webp
çocuk,oyun,zeka,7-12,Zeka Geliştirici Puzzle,https://www.toyzzshop.com/104-parca-super-puzzle-spiderman?serial=99802&_gl=1*1cpgli7*_up*MQ..*_gs*MQ..&gclid=CjwKCAjwmNLHBhA4EiwA3ts3magGOiEzK9jWZQbcxqmamxPp_Eq6PhYXQwBvoOuMsr3AUWfH9ZWOWBoCqfgQAvD_BwE&gbraid=0AAAAADp9lokE65JeWSMIlUw-lui_T65-8,https://docsd.toyzzshop.com/product/orj/216ca_104_Parca_Super_Puzzle_Spiderman.jpg
çocuk,oyun,müzik,3-6,Mikofonlu Çocuk Piyanosu,https://www.trendyol.com/rennes/np-800pk-akustik-gorunumlu-25-tuslu-dijital-elektronik-mikrofonlu-cocuk-piyanosu-pembe-p-795540811?boutiqueId=61&merchantId=108300,https://cdn.dsmcdn.com/mnresize/620/920/ty1649/prod/QC/20250312/15/60619738-c114-32f9-8275-6032f09725d9/1_org_zoom.jpg
çocuk,ev dekorasyonu,gece lambası,3-6,Bulldog Gece Lambası,https://www.trendyol.com/findify-store/cocuk-bebek-odasi-bulldog-3d-tekli-gece-lambasi-pilli-ve-kablosuz-sevimli-figurlu-18-x-18-cm-p-984678508?boutiqueId=61&merchantId=1035957,https://cdn.dsmcdn.com/mnresize/620/920/ty1750/prod/QC_PREP/20250909/12/2a1d5023-51fb-3d32-946a-d59dbfc13518/1_org_zoom.jpg
